City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,ketchikan,us,37.4,overcast clouds,55.011658775948106,-132.2060967089275,
434,upernavik,gl,17.1,overcast clouds,86.59660390609665,-47.96825185195269,
435,jamestown,sh,33.01,clear sky,-25.725828386529603,-3.8245211685075295,
437,sechura,pe,73.35,few clouds,-8.524187810496002,-84.3793599585224,
438,vierzon,fr,41.0,broken clouds,47.3511419696389,1.7145106944837836,Astrotel
439,digora,ru,32.0,clear sky,43.0621497658421,44.09839504514717,
440,lompoc,us,57.2,clear sky,28.78481273831907,-126.72581028996358,
442,saint-philippe,re,77.0,clear sky,-28.894123789580192,56.557312476459124,
443,inhambane,mz,76.77,scattered clouds,-25.780901014472505,36.964196168139246,
445,kainantu,pg,65.52,overcast clouds,-6.077337906932351,145.87974120735535,
446,lagunas,pe,75.27,overcast clouds,-3.9838549887260335,-75.26675646069877,
447,vaini,to,78.8,moderate rain,-87.05874505139035,-175.75852145091477,
448,hithadhoo,mv,81.91,few clouds,-10.593285428995273,83.112498253599,
449,samarai,pg,86.4,broken clouds,-9.819070544307092,153.631404174573,
